0001,-336302.6326628601,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-37254.805888479015,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-643249.7626123655,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-406768.525654196,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-754866.9065588358,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-1295631.596874975,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-8724.997014290146,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-193821.62324470998,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-51002.25759513589,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-594216.3558607626,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
